بی حال و سست	کسل
کسی که غل و زنجیر به گردنش انداخته شده	مغلول
بازده و نتیجه کار	راندمان
مستخدم و نگهبان سرا	سرایدار
ای خدا من	الهی
پنهان	مضمر
طریق و روش	راه
کج رونده	منحرف
اثر پیر کورنی	هوراس
دروازه بان ایتالیا	بوفون
ورزش توپ و چوگان	هاکی
پوچ	کاواک
نزدیک شده	مقرب
عنوان	سرنامه
فیلمی از نیکی کریمی	یکشب
سریالی از مهران مدیری	شبهایبرره
دارای چشمان میشی رنگ	اشهل
همراه خم	خم
میانگین و حد وسط	معدل
از شهرهای قزوین	بیدستان
بندری در دجله و فرات	بصره
فراوان	زیاد
از الیاف مصنوعی	ریون
از جنگ‌های صدر اسلام	احد
خردها و مغزها	الباب
ظاهر عمارت	نما
از بازیگران فیلم متروپل	یوسفمرادیان
از بازیکنان اسبق و نامدار بنفیکا	الوارو
پرپیچ و خم	مارپیچ
محلی و متوطن	بومی
شاید	احتمالی
پایتخت کلمبیا	بوگوتا
از تأثیرگزارترین فیلسوفان و اندیشمندان مسیحیت در دوران باستان	اگوستین
یکی از ارکان کعبه	رکنیمانی
بخش پایینی شلوار	دمپا
مرطوب و نمناک	نمور
مورد بدگمانی	مظنون
نام قدیم کشور اتریش	نمسه
از افعال ‌ربطی	است
شهر زادگاه امام چهارم شیعیان	مدینه
ترسان و سراسیمه	هراسان
مردان و بزرگان	رجال
نوه تیمور لنگ	خلیلسلطان
معادل‌فارسی پسیکوز	روانپریشی
آغاز و ابتدا	شروع
کتابی از دافنه دوموریه	سپربلا
دارای رنگ تند و تیز	پررنگ
هوس زن باردار	ویار
شب زنده داری کردن	احیا
دندان دور ریختنی	لق
پایتخت باهاما	ناسایو
علت و انگیزه	سبب
آن‌که جویای حق و حقیقت است	حقجو
طفل شیرخوار	نینی
خواری	ذلیلی
همگی	کل
سوداگر	تاجر
فیلمی از وودی‌آلن	انیهال
فیلمی از مهدی صباغ‌زاده	خاکواتش
شهری در کرمانشاه	سنقر
کلمه تنفر	اف
استخوان خفاشی شکل جمجمه	وتدی
ناحق و غیر جایز	ناروا
مدرک تدریس زبان انگلیسی	سلتا
هم در آسمان است و هم نامی دخترانه	قمر
important	مهم
برچسب قیمت اجناس	اتیکت
دیرینه	کهن
علت	سبب
حالتی در نماز	رکوع
میدانی در تهران	شمشیری
مهلت دادن	امهال
نژادشناس	نساب
از ماشین های راهسازی	گریدر
انابت	توبه
مشکین شهر سابق	خیاو
پوسته و لایه	قشر
ذخیره کننده	ذاخر
مقابل لشکری	کشوری
مشهور شدن	اسمدرکردن
ابر نزدیک به زمین	مه
سایه	نش
مقابلِ بیگانه	خودی
نوعی استخدام	پیمانی
اثری از سهروردی	عقلسرخ
رطوبت اندک	نمج
وصل کردن	ربط
مسیر گردش و دور	مدار
از قبایل عصر جاهلیت	اوس
وفاق و هماهنگی	تناسب
کباب پز فرنگی	باربکیو
فریاد بلند	نهیب
بخش پذیرش هتل	رسپشن
خوراک سفر	زاد
گمراه و معيوب	بداهو
به دست آوردن	تصرف
شهري در فرانسه	لومان
ف و ی و	یوفو
با نرمی رفتار کردن	ملایمت
دست ها	ایادی
از نشریات آلمانی	ووگ
کشوری در آمریکای جنوبی	ونزویلا
دریدگی	پارگی
چانه زدن در خرید و فروش	مکاس
پایتخت ترکیه	انکارا
از حروف الفبای فارسی	شین
از پسران فریدون در شاهنامه	ایرج
سین نذری	سمنو
پلیدی	رجس
دندانه چرخ	پره
آشامنده	نوشنده
بالای فرنگی	اپ
الهه شکار	دیانا
بیماری یرقان	زردی
قبایل	ایلات
اندوهگین	متلهف
تابلویی از آگوست رنوار	چترها
بهم برخورده	مصادف
مسخره کردن	سخر
اجاق	دیگدان
309	مدرسه
بیماری خشکى	یبوست
اسراف کار	ولخرج
عدد تنها	یک
ظرف سیمی گداختن زغال	اتشگردان
مرکز برنامه ‌ریزی	ستاد
فیلمی از فدریکو فلینی	ولگردها
اسطوره رومی	اپولو
زادگاه حضرت ابراهیم	اور
پیامبر خوش سیما	یوسف
بهابازار	بورس
هم‌بازی پت	مت
علامت تجاری	انگ
430	عطشان
پاي بند	تقید
انعکاس نور	بازتاب
دریاچه سوئد	ونرن
جامه زنانه	تونیک
شدنی	ممکن
همبستگی و یکپارچگی	وحدت
امیر سپاه	فرمانده
شهری در خراسان رضوی	قوچان
علامه اي از بزرگان و فقيهان شيعي	حلی
آواز دسته جمعی	کر
گهواره کودک	ننو
کالبدشکافی	تشریح
قسمتی از خانه قدیمی	زیرزمین
برق غیرفاز	نول
سرکش و نافرمان	یاغی
از بازیگران فیلم هزارپا	شهرهلرستانی
دادگاه بین المللی	لاهه
نام سابق نیشابور	شادیاخ
اصطلاحی در شیمی	مول
لبخند زدن	ابتسام
تنگنا	مضیقه
مهیا شده	فراهم
شاگرد	ادباموز
میهن	وطن
کله	راس
به بستنی می زنند	لیس
خجستگی	یمن
از آثار تاريخي قم	میلبابک
از گیاهان دارویی	پونهسنبلهای
فراموشکار	ناسی
خوش بیان	زباندان
انبار مهمات	زاغه
غذاخوری چهارپایان	اخور
خط عبور	لاین
استوار و محکم	مبرم
کشوری در اروپا	اسلواکی
آسان تر و سهل تر	اسهل
صمغی گیاهی و شیرین	شیرخشت
آبزی درودگر	ارهماهی
هادی و هدایتگر	رهنما
درست و بی عیب	سالم
ناپاک و نجس	رجس
فیلم مهیج	تریلر
آلبومی از همایون شجریان	سیمرغ
عصاره‌ کنجد	تخ
ادب و نزاکت	تربیت
سگ بیمار	هار
کارگردان فیلم بیرون کوره	اسکاتپارکر
gloomy	تیره
دریاچه اى در آفریقا	البرت
روییدن	رستن
نوعی پرتقال	توسرخ
سربها	فدیه
سرمای شدید	سوز
کنایه از پرحرف	رودهدراز
رودی در مازندران	نیکا
باقی مانده‌ها	بقایا
رحم	زهدان
ترسناک	مهیب
آشکار و واضح	بدیهی
راهنما	هادی
طریقه و مسلک	ایین
باغ انار	نارستان
سلاح ضد تانک	بازوکا
پارالل	موازی
فرمان روایی	تختوتاج
مردانگی	رجولیت
مقابل فطری	اکتسابی
از تیم های لیگ برتر	سایپا
گرفتن	جلب
جرم و گناه	ذنب
عضو جونده در دهان	دندان
سرنخ معدن	رگه
رتيل	کملد
حیران و سرگردان	وامانده
گدازه آتش‌فشانی	ماگما
پوست گندم	سبوس
به هر رو	بههرحال
عزیزتر	اعز
آجل و آینده	اتنا
خاک نمناک	ثری
تاوان تخلف	جریمه
از جدایی ها شکایت می کند	نی
پارلمان روسیه	دوما
به دست آوردن	اکتساب
بالای کوه	قله
دستگاه شوک الکتریکی قلب	دفیبریلاتور
بلند پایه	سامی
فیلمی از مهردادفرید	همخانه
پرورش دهنده	مربی
ط ی	طی
کاخ هندوستان	اشوکا
مهربان و رئوف	رحیم
سحرآمیز	جادوفش
از کشورهای آسیایی	اندونزی
حکم و دستور	فرمایش
مال یاران کشیدنی است	ناز
زدنی روی رودخانه	پل
شالوده ساختمان	پی
فنی در کشتی	پل
گرفتاران و دربندان	اسرا
دردناک	الیم
صاف کننده	پالای
پول قدیمی آلمان	مارک
به رسم یادبود می‌دهند	یادگاری
از سازهای بادی	بالابان
از زبان‌های برنامه نویسی	سی
بوستان	باغ
لبریز و پر	سرشار
12	لقا
کشور هفتاد و دو ملت	هندوستان
افسانه‌گو	سمیر
از شاعران ایرانی	خاقانی
نیرنگ و حقه	سوسه
محیطی مصنوعی برای نگهداری ماهی	اکواریوم
مثل و شبیه	مانند
میوه خراب شده	لهیده
گرد زینتی براق	اکلیل
اسب حضرت علی (ع)	دلدل
آنکه قایق را به حرکت درآرد	قایقران
از بلای طبیعی	زلزله
پیمان و عهد	قرارداد
گستاخ	جاسر
میوه پرزدار	کیوی
اندوخته ها	ذخایر
شکوه	فرهی
شترمرغ استرالیایی	ایمو
واحد مسافت	کیلومتر
ماه چهارم سال‌میلادی	اوریل
ثروتمند	غنی
جای نامه	پاکت
پرانتز	کمانک
کل و سراسر	یکسر
برد معروف 	یمانی
61	این
موشک آلمانی	ویدو
901	قضا
میهن و زادگاه	وطن
غریبه	ناشناس
واحد مقیاس گرما	کالری
کسی یا چیزی که به دیگری متصل شود	واصل
بازیگر خانم سریال کرگدن و ملکه گدایان	الهامکردا
پنبه چراغ	فتیله
ماهیت و ذات	هویت
سور و ضیافت	مهمانی
گوسفند استرالیایی	مرینوس
از شهرستان‌های استان قزوین	اوج
آرسنیک	زرنیخ
جناح	فراکسیون
گشایش طلبیدن	استفتاح
واگذار کردن	سپردن
واجب و لازم	بایست
از جزایر ژاپن	هوکایدو
چاره اندیشی	تدبر
پسوند نسبت	وند
دبیرستان فنی	هنرستان
سبد	زنبیل
پایتخت سوریه 	دمشق
ناساز و ناهماهنگ	ناموزون
کاشف میکروب طاعون	یرسن
تصویربردار	عکاس
بر روی پاکت نامه می‌چسبانند	تمبر
قرض دار	مدیون
شهری در فرانسه	رنس
وزن موسیقی	ریتم
لاشخور	کرکس
نوعی امتحان	کتبی
از بازیگران اخراجی‌ها	هاشمی
ریشخند	مسخره
کمک و ياري در گويش گنابادي	گمر
کشور و اقلیم	مملکت
غذاخوری عمومی	رستوران
دقت و موشکافی	باریکاندیشی
آلبومی از حسام الدین سراج	مسیحا
بیان و تفسیر	شرح
خوراکی از گوسفند	سیرابی
مایوس و بی رغبت	دلسرد
هر تصویر مدور و منقش	شمسه
درخت مجنون	بید
پرگار	دواره
از کشورهای اروپایی به پایتختی وین	اتریش
از میقات های پنجگانه عمره تمتع	یلملم
خورشی که می‌خورند و لنگر می‌اندازند	کنگر
اسید نیتریک	نیترات
خوش اخلاق	نیکخو
مثل و شبیه	مانا
کمدی نویس یونان باستان	ترنتیوس
فرزند زادگان	نواده
گیجگاه	شقیقه
آزادگی	حریت
اشعه مجهول	ایکس
مشورت کننده	مشیر
عضوی از حشرات گزنده	نیش
راهنمایی کردن	دلالت
عنوانی در ارتش	افسر
انرژی و رمق	توان
از جزایر دریای کاراییب	مارتینیک
مرهم	ضماد
غذای دیگر ایرانی	گوجهپلو
لاغر	نازکاندام
فتوکپی خشک	زیراکس
اتفاق	حادثه
مخالف	ناسازگار
سرشیر	قیماق
از مقیاس‌های سنجش مایعات	گالن
واحد اندازه گیری طول در کشور انگلستان	اینچ
نام تاریخی ارسباران	قرچهداغ
واجب و ضروری	لازم
بخت برگشتگی	ادبار
تمساح پوزه‌ کوتاه	گاندو
صحرای مصر	سینا
اسب سفيد	هدنگ
متحیر	مبهوت
راه آذری	یول
زنده نگهداشتن	استحیا
we	ما
صاحب	ذو
نامی دخترانه	درنا
پاداش	صله
تخمین	ورانداز
پایه و بنیاد	اساس
میوه ضربه خورده	لکدار
H	اچ
رقعه	نامه
بی فکر و بی‌اندیشه	بیخیال
لاشه جانور	مردار
شهری در آلمان	اخن
میان	وسط
دهشت‌افکنی یا هراس‌افگنی	تروریسم
پرچم و عَلَم	لوا
قیمتی و گران مایه	بهاگیر
برش هندوانه	قاچ
خوبی	نکویی
خورشتی که می خورند و لنگر می‌اندازند	کنگر
دارای گنجایش	جادار
طغیان کردن	شوریدن
ناسپاس	کنود
نزدیک شدن	قرب
طایفه کریم خان	زند
جمع درس	دروس
خمره بزرگ	هب
واژه و کلمه	لغت
شماره	نمره
حرف دارای تشدید	مشدد
شهری در استان خراسان جنوبی	نهبندان
نوعی نخل	رافیا
اگه نخوردیم ............، دیدیم (دادیم)‌ دست مردم !	نونگندم
محصول آتشفشان	گدازه
ربودن	قاپیدن
نالیدن	نال
داروی بیماران تالاسمی	دسفرال
به جریان انداختن	اجرا
اندرز و نصیحت	پند
رسوا و بی آبرو	بدنام
گرفتنی از هوا	بل
مرد شمشیر زن	سیاف
کار مجری	اجرا
کوه مقدس یونانیان باستان	اولمپ
شهر جشنواره	کن
القا	تلقین
آرمیدن	اسودن
ربانه آتش	الاو
گیاهی از حبوبات	نخودفرنگی
شهری در ژاپن	فوکوکا
خودداری کردن	امتناع
از شهرهاي مهم نيجريه	لاگوس
خسیس تر	اخس
کیف لاتین	بگ
رود بزرگ	شط
عریان و برهنه	روت
نوعی خیار	قلمی
لقب ارسطو	معلماول
پیرامون و گرداگرد	حوالی
نرده چوبی	تارمی
رتبه کارمندی	اشل
توقف	درنگ
بند دست	مچ
خرج و مخارج	هزینه
تنها نشستن	خلوت
سرایت آب از چیزی به چیز دیگر	نشت
نوعی کلاسور فنردار	زونکن
از مایعات فرار	اتر
پسر مازنی	ریکا
فیلمی از مسعود کیمیایی	قاتلاهلی
کنایه از ولخرج	باددست
برانگیختن	ابتعاث
سیم ضخیم	کابل
مردمی که در یک جا ساکن باشند	اهل
از آفات گیاهی	شته
از شهرهای استان البرز	کمالشهر
شهر یزد	میبد
کودن و احمق	هالو
همدستان	شرکا
آنها	ایشان
اسب خسرو پرویز	شبدیز
اثری از محمود گلابدره ای	اقاجلال
سفید	بیضا
ناخوشی و کسالت	عارضه
محرومیت	ناکامی
باهم پیکار کردن	تنازع
اداره کننده	مدیر
از وسایل سفره عقد	کلهقند
دیروز	امس
از نمازهای واجب	ایات
شتاب و تأکید	غدغن
بُعدها	ابعاد
تخم حشرات	لارو
دنبالش نگردید!	گم
بخشنده	جواد
نقاله جابه جا کردن افراد	پلهبرقی
سرزنش کردن	شماتت
شهری در آذربایجان شرقی	میانه
تيم فوتبال نوشهر	شموشک
زاد سفر	رهبرد
شروع	اغاز
فیلمی به نویسندگی و کارگردانی مسعود جعفری جوزانی	دلودشنه
فیلمی ساخته کیومرث پوراحمد	گلیخ
به دست آورده شده	محرز
کارگردان خانم ایرانی	بنیاعتماد
از سوره های قرآن	کهف
دنباله و نتیجه	عقبه
تلفن همراه	موبایل
شالوده و اساس	اس
شهری در استان‌فارس	داراب
مکمل مهره	پیچ
کشاورز	ورزکار
صدایی که هنگام انداختن تیر از چله کمان برآید	ترناس
حیات	زندگی
67	محیط
نام قدیم آمل	امارد
بجا آوردن	ادا
درخت خارشتر	راویز
منجی شناگر	نجاتغریق
نام دیگر سفید رود	قزلاوزن
پیروزی و ظفر	فتح
عنصر فلزی	ید
چرب زبان	متملق
مطلب پوشیده و پنهان	راز
سرشت و نهاد	طبع
سترون	نازا
زاینده آتش	اتشزا
از القاب امام‌پنجم(ع)	باقر
گرفتن	اخذ
میوه ملین و اشتها آور	البالو
کنايه از آدم پرسخاوت	دستودلباز
از اندامک های درون یاخته جانوران	لیزوزوم
بی نیازی	غنا
ریاکار و دورو	متظاهر
تابناک تر	انور
خلوص و صمیمیت	صفا
از ملعونین ابدی تاریخ	شمر
خانه شعرا	بیت
آلزایمر	زوالعقل
مستقیم	راست
داخل شدن	دخول
عکس از خود	سلفی
انبار و مخزن	دپو
اثری از نیمایوشیج	مانلی
دالان ورودی خانه‌های قدیمی	هشتی
جهاز شتر	هوید
قسمت سوم شکمبه	هزارلا
علم گیاه شناسی	بتانیک
پیامبرخوش سیما	یوسف
از ضمایر جمع	ما
جشن و ضیافت	مهمانی
لحظه ای	یکدم
نوعی نارنگی	یافا
کارگاه شست و شوی البسه	اتوشویی
از گیاهان دارویی	راج
خال و پوچ	تهی
بوی خوش	شمیم
بامداد	صباح
ابزار پاشیدن	افشانه
شاخص	نما
گازی در آب	هیدروژن
پسوند نسبت	ین
فرو بردن غذا از گلو	خوردن
سین نوروزی شماره1	سمنو
تفسیر کننده	شارح
جای امن	مامن
از درختان جنگلی	راش
هماهنگی	انسجام
دست‌و پنجه نرم‌کردن	زورازمایی
کودک تازه رسیده	نوباوه
گرامی تر	اکرم
کاسه بزرگ چوبین	لاوک
حرف M	ام
علامت صفت عالی	ترین
از گل های زیبا	ازالیا
دانش و فرهنگ	ویستا
دعای شب جمعه	کمیل
قهوه ای مایل به سرخ	اجری
پاینده	مخلد
از اپليکيشن هاي پرداخت	ایوا
پایتخت کشور فیجی	سووا
مادر	ام
آدم خبرچین	هوچی
شهر مقدس هندوان	بنارس
وقت	گاه
سُر دادن	سراندن
آب دهان	خدو
هزینه درس خواندن	شهریه
از انواع دادگاه	جنایی
دوچرخه مسابقه ای	کورسی
تندی حرکت	سرعت
غیر حقیقی	مجازی
کلام فقدان	بی
نوعی پارچه نخی ساده	دبیت
محمل	کجاوه
به جز	الا
یک دفعه و یک بار	یکمرتبه
میگو	روبیان
به‌جا آوردن	ادا
شعر ژاپنی	هایکو
مردد و بی ثبات	دودل
پرده نقاشی	تابلو
لباس	رخت
کرباس رنگی	قدک
تا هنگامی که	مادام
یار شبان	سگ
سم خورده	مسموم
الفت گیرنده	انیس
بدجنسی	خباثت
طاهر و طیب	پاک
فیلمی از کیومرث پوراحمد	نوکبرج
امر و توقیع	حکم
قطار شهری	تراموای
شخص هوشمند و دارای نبوغ	نادره
از شهرهای استان فارس	سروستان
تسمه و دوال عقب زین	فتراک
فیلمی به کارگردانی سید جمال سیدحاتمی	لاکقرمز
زن سراینده	شاعره
مکتب ها	مکاتب
برنج	رز
نام محلی پایتخت ارمنستان	یروان
سرحال و سرخوش	کیفور
زندگی و حیات	محیا
از توابع آذربایجان شرقی	بناب
صحرایی نزدیک مکه	منا
گرد آمدن	اجتماع
شهر و استانی در کشورمان	زنجان
پولاد	روهنی
بی نظیر	یکتا
کشوری در اقیانوسیه	ساموا
کنیه مبارک پیامبر اکرم(ص)	ابوالقاسم
روزگار	دهر
جمع نهر	نهرها
روستای توت تهران	کن
خرما	تمر
دورویی	تزویر
از سوره های سجده دار قرآن	نجم
دوره پیش دبستانی	امادگی
دارای ارزش برابر	همارز
سعی، کوشش	جد
شهری در مازندران	نور
کم و ناچیز	اندک
بهشت	مینو
موضوع و سوژه	مورد
از ماکیان	طاووس
پایتخت تایلند	بانکوک
کثرت و فراوانی	انبوهی
سخندان	ادیب
وسیله بازی تنیس	راکت
جشن ایرانیان قدیم در چهارم شهریور	شهریورگان
خلل رسانیدن	اخلال
مخفف از شورش	زشورش
آسیای بزرگ	خراس
از مواد منفجره	باروت
مخلوط	قاتی
شب زنده داری	تهجد
آشکار شدن	بروز
آشکار و ظاهر	نمایان
فیلم سینمایی به کارگردانی حسن فتحی	مستعشق
متداول و مرسوم	مد
بلندمرتبه	جلیل
اثری از شکسپیر	لیرشاه
تن و بدن	اندام
پیشه حداد	اهنگری
احساسی و خیال پردازانه	رمانتیک
برنده جایزه نوبل فیزیک سال ۲۰۰۶ میلادی	جانماتر
یک بیماری اختلال ارثی	کوررنگی
شهری در کامبوج	اسوایچک
از نیروهای نظامی	زمینی
کارش سفید کردن ظروف مسی است	رویگر
شمرده شده	محسوب
خودشیفتگی	نارسیسم
یک چهارم	ربع
بد ذات	بدجنس
نوعی پاپوش	جوراب
مسکن	مبیت
جمع رسول	رسل
طفل	کودک
کاغذ کاهی	وب
گریبان	جیب
واحد شمارش تفنگ	قبضه
از شهرهای ‌همدان	تویسرکان
پیکر و جثه	تن
salt	نمک
اشخاص	کسان
مخفف بلکه	بل
از وسایل نقلیه عمومی	قطار
بندگی	رق
کنایه از فرد فقیر	اسمانجل
از ادوات ورزش باستانی	گبرگه
درخت جنگلی	افرا
پیرکس	نسوز
بی تاب و سردرگم	کلافه
عید حاجیان	قربان
گل خشک شده	کلوخ
deaf	کر
حرف ربط	تا
راز و امر پوشیده	سر
آب فشان	فواره
صندوق خانه کوچک	پستو
برگ	ورق
غیبگو	کاهن
خوشبو	معطر
مارکی بر لوازم صوتی	ایوا
بنده و غلام	گرا
رودی در ویتنام	مکونگ
حادثه و پیشامد	اتفاق
عمران و سازندگی	ابادانی
شهری در خوزستان	سوسنگرد
اثر آلبرتو موراویا	لیدا
سپس	ثم
باد خنک	نسیم
کشتی کوچک	کرو
کاشف می سی سی پی	هرناندوسوتو
آجر ناپخته	خشت
شیخ نشین امارات	دبی
میوه جاذبه یاب	سیب
come	امدن
سبد	داموز
نهی از گفتن	مگو
نام قدیم مدینه	یثرب
خداحافظی ژاپنی	سایونارا
شخص بسیار عبوس	ایینهدق
جوش دادن قطعات فلزی	جوشکاری
غربی ترین کشور اروپایی	ایسلند
656	تنور
شهرى در استان‌ایلام	درهشهر
pencil	مداد
سبزی خوشبو	نعناع
ادویه تند و اشتها آور	فلفل
شهر بادگیرها	یزد
کنایه از بد شانسی	بدبیاری
قلع	رصاص
مذهب	شریعت
معبر خون	رگ
یار آفتابه	لگن
جمعیت زیاد در مثل	موروملخ
خویشاوندی	نسبت
پروردگار عالمیان	خداوند
در حال وزیدن	وزان
خون ریختن	سفک
کمربند پشمی	شال
به هم ساییده‌شده	مماس
شخص نامعلوم	فلان
مجازا وسیله بهانه	دستاویز
از غذاها	پوره
مظهر روشنایی	اب
کاهش تدریجی 	افت
آشوب و بلوا	شورش
حلال شرعی	مباح
باهوش و خردمند	هوشیار
آویزه و مدال	حمایل
فرزندان	بنی
ساختمان مرتفع	برج
پاکیزه و مقدس	منزه
از جنس مو	مویی
سنگ های قیمتی	جواهر
سلاح كاشتني	مین
روشنی و پرتو	فروغ
نوعی سبک موسیقی	جاز
ایصال	رساندن
فيلم سرگئي آيزنشتاين	رزمناوپوتمکین
استخوان کاسه سر	اهیانه
vote	رای
لحن بیست و پنجم باربد	مهرگانی
ناامید	یایس
نوشیدنی داغ	چای
از هواپیماهای جنگی روسی	سوخو
از برنامه های ورزشی سیما	نود
میوه هزاردانه	انار
موسیقیدان اتریشی	هایدن
خانه و منزل	سرا
راه وسیع	جاده
فراهم	اماده
شاهکار ادبی هرمان ملویل	موبیدیک
جلا دهنده کفش	واکس
اقبال	شانس
ستاره ثریا	پروین
شک و تردید	دودلی
از شهرهای استان‌ کرمان	جیرفت
از وسایل آزمایشگاه	ارلن
شناگر	ابباز
عدد دایره	پی
بنده و غلام	عبد
گذشت	عفو
اداره دارایی قدیم	مالیه
واحد مقاومت	اهم
شکسته شده	کسیر
پایتخت بوسنی و هرزگوین	سارایوو
نویسنده بریتانیایی	میلن
نوعی پرنده خوش صدا	شباهنگ
فاخته	ورقا
افسار	لگام
غذایی با اسفناج	نرگسی
دامن چین دار	پاچین
تیرانداختن	رمی
آگاه و مطلع	باخبر
فراموشکار	ن اس ی
جامه زنانه	دامن
رازدار	محرم
دریاچه‌ای در شهرستان زابل	هامون
از فرزندان چنگیزخان	اکتای
کسی که کفش و جوراب در پا ندارد	پابرهنه
از آثار تاریخی اصفهان	تختفولاد
میخ	مسمار
از شهرهای خوزستان	رامهرمز
پایتخت بلاروس	مینسک
سال ترکی	ییل
یک شب	شبی
چشم زخم	حرز
لقب علمای یهودی	ربن
امر به نرفتن	نرو
زنی که تازه زایمان کرده	زایو
همیشه	هردم
وقت چیزی یا کاری	نوبت
خاص	ویژه
فیلمی با بازی آل پاچینو	سیمونه
عفت و شرف	ابرومندی
گل های خوشبو	ضیمران
پاسبان	نگاهبان
حشره پشم خوار	بید
سیاستمدار استعمارگر انگلیسی	چرچیل
فیلم امیر قویدل	گالان
آغاز بامداد	صبح
wetness	تری
شیمیدان فرانسوی قرن نوزدهم	مارسلنبرتلو
باربر	حمال
سردار قوم هون	اتیلا
تر و تازه	شاداب
حدادی	اهنگری
جویدن دوباره غذای معده	نشخوار
همچنین	نیز
غریبه نیست	اشنا
مردم اهل بزم	مجلسیان
رنگین کمان	افنداک
انحنا	خم
نابینا	کور
فیلمی به کارگردانی حسن هدایت	پیکجنگل
کلام انزجار	فا
طلب بی‌گناهی	برایت
در حال کشیدن	کشانکشان
ده روز از ماه	دهه
دانه به دانه	یکایک
بخش ها	اجزا
جنگی بین ایرانیان و رومیان	سالامیس
مرکب	تاود
پیرایه	زینت
از استان های سوریه	درعا
ماشین‌باری کوچک	کامیونت
از بیماری‌های دهان	ابسهدندان
فیلمی از کامبوزیا پرتوی	افسانهدوخواهر
آشکار گشتن راز	افراخ
مجروح	فگار
درون	تو
واحد نظامی	تیپ
محل خرید و فروش خانه	بنگاه
به طور قطع و یقین	البته
اس ام اس	پیامک
محفل	انجمن
داراى جنبه تظاهر	نمایشی
در دل افتادن	الهام
بالانشین و بلندپایه	تارکنشین
به تدریج	کمکم
کم کم، اندک اندک	لقمهلقمه
غنیمت های جنگ	انفال
آوای گرگ	زوزه
